# File di test: segnale continuo
# Calibrazione: xTL; yTL; xTR; yTR; xBR; yBR; xBL; yBL
@CALIBRAZIONE, 0.0,0.0, 1.0,0.0, 1.0,1.0, 0.0,1.0
# Formato: X(float) , Y(float) , Timestamp(ns)
0.00,0.00,1000000000
0.03,0.03,1100000000
0.05,0.05,1200000000
0.07,0.07,1300000000
0.10,0.10,1400000000
0.12,0.12,1500000000
0.15,0.15,1600000000
0.17,0.17,1700000000
0.20,0.20,1800000000
0.23,0.23,1900000000
0.25,0.25,2000000000
0.28,0.28,2100000000
0.30,0.30,2200000000
0.33,0.33,2300000000
0.35,0.35,2400000000
0.38,0.38,2500000000
0.40,0.40,2600000000
0.42,0.42,2700000000
0.45,0.45,2800000000
0.47,0.47,2900000000
0.50,0.50,3000000000
